date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2021-11-17 12:23:08+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.549,1.729,1.669,1,1,1
2021-11-17 12:23:08+01,a85d3547-c83c-496b-aef7-039251357ea2,1.599,1.769,1.709,1,1,1
2021-11-17 12:23:08+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.579,1.799,1.699,0,1,0
2021-11-17 12:26:08+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.619,1.799,1.739,1,0,1
2021-11-17 12:45:14+01,7859c737-7ba0-4506-9ebd-867609d63371,1.559,1.749,1.689,1,1,1
2021-11-17 12:47:07+01,a85d3547-c83c-496b-aef7-039251357ea2,1.589,1.759,1.699,1,1,1
2021-11-17 12:48:09+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.519,1.689,1.629,1,1,1
2021-11-17 12:51:08+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.619,1.789,1.729,0,1,1
2021-11-17 12:52:07+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.539,1.709,1.649,1,1,1
2021-11-17 12:59:09+01,a85d3547-c83c-496b-aef7-039251357ea2,1.589,1.739,1.679,0,1,1
2021-11-17 13:02:09+01,17841c66-b61d-444a-8618-a551734246b6,1.559,1.749,1.689,1,1,1
2021-11-17 13:08:07+01,17841c66-b61d-444a-8618-a551734246b6,1.539,1.709,1.649,1,1,1
2021-11-17 13:09:09+01,a85d3547-c83c-496b-aef7-039251357ea2,1.589,1.749,1.689,0,1,1
2021-11-17 13:15:12+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.609,1.789,1.729,1,0,0
2021-11-17 13:19:11+01,a85d3547-c83c-496b-aef7-039251357ea2,1.539,1.739,1.679,1,1,1
2021-11-17 13:27:08+01,a85d3547-c83c-496b-aef7-039251357ea2,1.539,1.729,1.669,0,1,1
2021-11-17 13:33:08+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.519,1.689,1.619,0,0,1
2021-11-17 13:33:08+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.589,1.789,1.729,1,0,0
2021-11-17 13:36:05+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.519,1.679,1.619,0,1,0
2021-11-17 13:37:09+01,7859c737-7ba0-4506-9ebd-867609d63371,1.539,1.729,1.669,1,1,1
2021-11-17 13:41:09+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.589,1.769,1.709,0,1,1
2021-11-17 14:03:09+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.589,1.739,1.679,0,1,1
2021-11-17 14:10:07+01,7859c737-7ba0-4506-9ebd-867609d63371,1.529,1.729,1.669,1,0,0
2021-11-17 14:11:07+01,ca9c753a-cc23-4348-9459-4b0282bc20c3,1.579,1.739,1.679,1,0,0
2021-11-17 14:16:09+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.509,1.679,1.619,1,0,0
2021-11-17 14:25:14+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.529,1.709,1.649,1,0,0
2021-11-17 14:26:07+01,17841c66-b61d-444a-8618-a551734246b6,1.529,1.709,1.649,1,0,0
2021-11-17 15:10:10+01,7859c737-7ba0-4506-9ebd-867609d63371,1.579,1.779,1.719,1,1,1
2021-11-17 15:17:17+01,292d33c7-5c95-4bcd-818d-e47b1096d2de,1.559,1.739,1.679,1,1,1
2021-11-17 15:23:14+01,e1a15081-2627-9107-e040-0b0a3dfe563c,1.509,1.719,1.659,0,1,1
